localhost (centos7.6.1810)
==========================
Total: 136 (High:19 Medium:93 Low:24 ?:0), 27/136 Fixed, 1144 installed, 115 updatable, 1 exploits, en: 0, ja: 0 alerts

+------------------+---------+------+------+----+------+---------------------------------------------------+
|      CVE-ID      |  FIXED  | CERT | CVSS | AV | POC  |                        NVD                        |
| CVE-2018-18520   | unfixed |      |  6.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-18520   |
| CVE-2018-5741    | unfixed |      |  6.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-5741    |
| CVE-2019-3459    | unfixed |      |  6.5 |  A |      | https://nvd.nist.gov/vuln/detail/CVE-2019-3459    |
| CVE-2019-3460    | unfixed |      |  6.5 |  A |      | https://nvd.nist.gov/vuln/detail/CVE-2019-3460    |
| CVE-2019-7149    | unfixed |      |  6.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-7149    |
| CVE-2019-9740    | unfixed |      |  6.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-9740    |
| CVE-2019-9947    | unfixed |      |  6.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-9947    |
| CVE-2018-1000078 | unfixed |      |  6.1 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-1000078 |
| CVE-2018-16658   | unfixed |      |  6.1 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-16658   |
| CVE-2018-12181   | unfixed |      |  6.0 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-12181   |
| CVE-2018-0734    | unfixed |      |  5.9 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-0734    |
| CVE-2018-12404   | unfixed |      |  5.9 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-12404   |
| CVE-2018-5742    |   fixed |      |  5.9 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-5742    |
| CVE-2018-7755    | unfixed |      |  5.9 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-7755    |
| CVE-2019-0161    | unfixed |      |  5.9 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2019-0161    |
| CVE-2019-6470    | unfixed |      |  5.9 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-6470    |
| CVE-2018-15594   | unfixed |      |  5.6 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-15594   |
| CVE-2018-1000077 | unfixed |      |  5.5 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-1000077 |
| CVE-2018-1000079 | unfixed |      |  5.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-1000079 |
| CVE-2018-12641   | unfixed |      |  5.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-12641   |
| CVE-2018-13093   | unfixed |      |  5.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-13093   |
| CVE-2018-13094   | unfixed |      |  5.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-13094   |
| CVE-2018-13095   | unfixed |      |  5.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-13095   |
| CVE-2018-15853   | unfixed |      |  5.5 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-15853   |
| CVE-2018-15854   | unfixed |      |  5.5 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-15854   |
| CVE-2018-15855   | unfixed |      |  5.5 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-15855   |
